objectid,filename,title,creator,date,description,subject,source,type,format,language,rights,author,year,tag_narrativo,tag_gestual,proxemia,time_inicio,time_final
coll001,001.jpg,charla,Paternalista,Madre,mujer campesina hace trato convencer a su hija de no tener romance con un hombre que no le agrada.,Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Una figura de autoridad o estatus realiza una acción para imponer o demostrar autoridad. Por tanto, esto limita la autonomía de otro sujeto. Esto suele hacerse sin mostrar una mala intención directamente, es decir, los personajes de autoridad parecen actuar pensando en el bienestar del otro sujeto, aunque no tome en cuenta su opinión. Más bien, apela a reconocer las relaciones de poder, en otras palabras, a visibilizar quién puede ejercer el poder.",Samuel Velasquez,1924,preocupacion,preocupacion,distanciamedia,00:00:30,00:01:18
coll002,002.jpg,niños,Cuidado,Madre,mujer campesina cuida de sus hijos en el campo mientras otra mujer le habla,Adulto/niño,Proimágenes,Image;StillImage,image/jpeg,es,"Las labores de cuidado son ejercidas por mujeres que se encargan de realizar acciones enfocadas a suplir necesidades básicas como la comida, la enfermedad o el cuidado de los hijos.",Samuel Velasquez,1924,expectativa,atencion,cercanos,00:01:19,00:01:45
coll003,003.jpg,salvacion,Conquista,Madre,"Hombre llega donde madre y se sienta junto a èl, le ofrece tabaco y lo lleva con fuerza a conocer a su hija. Hombre le habla a hija, le regala un pollo y recita poesìa para ella.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Un hombre se acerca a una mujer con intenciones de mantener un romance con ella. La conquista suele ser propiciada por el hombre, a su vez, estos tienen modos de conquista como la poesía, decir palabras lindas, presumir de sus logros o su dinero. La mujer receptora de estas acciones acepta o rechaza a su candidato. Esta decisión suele ser tomada por las mujeres, por lo que es común que varios hombres se acerquen a la misma mujer.",Samuel Velasquez,1924,expectativa,burla,cercanos,01:00:46,00:05:24
coll004,004.jpg,reclamo,Rebeldía,Madre,Madre reclama e hija y la hija se burla del hombre que conociò.,Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Un sujeto subordinado realiza una acción que desafía la autoridad de una estructura económica, política, social o cultural. Esto puede presentarse a través de la burla, el escape, golpes físicos o discursos verbales.",Samuel Velasquez,1924,burla,burla,distanciamedia,00:05:25,00:06:12
coll005,005.jpg,el rio,Trabajo,Madre,"campesinos trabajan con animales, los azotan y empujan, tambièn niños llevan a otros animales. Los hombres no tienen mucha interacciòn entre ellos.",Hombre/hombre,Proimágenes,Image;StillImage,image/jpeg,es,"El trabajo manual y de fuerza suele ser desempeñado por hombres no enriquecidos. Suelen tener un patrón o una figuta de autoridad que los vigila. Sus movimientos son bruscos y demuestran fuerza, también suelen tener contacto con la tierra o con animales grandes. Suelen usarse como imágenes de transición o demostración de un oficio o trabajo, pero no como algo que cambie la trama o sea significativo, más bien son escenas de transición.",Samuel Velasquez,1924,agilidad,fuerza,distanciamedia,00:06:13,00:07:58
coll006,006.jpg,advertencia,Paternalista,Madre,Hija realiza labores de cocina mientras su madre llega a reclarmarle por un hombre que la observa y le advierte que no hable con èl.,Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Una figura de autoridad o estatus realiza una acción para imponer o demostrar autoridad. Por tanto, esto limita la autonomía de otro sujeto. Esto suele hacerse sin mostrar una mala intención directamente, es decir, los personajes de autoridad parecen actuar pensando en el bienestar del otro sujeto, aunque no tome en cuenta su opinión. Más bien, apela a reconocer las relaciones de poder, en otras palabras, a visibilizar quién puede ejercer el poder.",Samuel Velasquez,1924,advertencia,manipulacion,cercanos,00:07:59,00:09:08
coll007,007.jpg,tabaco,Paternalista,Madre,madre le advierte a hombre y lo obliga a irse.,Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Una figura de autoridad o estatus realiza una acción para imponer o demostrar autoridad. Por tanto, esto limita la autonomía de otro sujeto. Esto suele hacerse sin mostrar una mala intención directamente, es decir, los personajes de autoridad parecen actuar pensando en el bienestar del otro sujeto, aunque no tome en cuenta su opinión. Más bien, apela a reconocer las relaciones de poder, en otras palabras, a visibilizar quién puede ejercer el poder.",Samuel Velasquez,1924,advertencia,advertencia,cercanos,00:09:09,00:09.56
coll008,008.jpg,consejo_rosario,Solidaridad/apoyo,Madre,Mujeres conversan y una le aconseja a otra.,Mujer/mujer,Proimágenes,Image;StillImage,image/jpeg,es,"El apoyo o la solidaridad puede presentarse entre hombres o entre mujeres mayoritariamente. Suele representarse a través de consejos, compañía para realizar acciones o complicidades. En este discurso no suele haber una relación de poder que interceda, es decir, los personajes son pares.",Samuel Velasquez,1924,expectativa,emocion,distanciamedia,00:09:57,00:11:11
coll009,009.jpg,sombrero,none,Madre,hombre teje sombrero,none,Proimágenes,Image;StillImage,image/jpeg,es,none,Samuel Velasquez,1924,none,vigilante,none,00:11:12,00:12:00
coll010,010.jpg,ladrón,Conquista,Madre,"hija despierta y va la cocina. La familia duerme en un mismo cuarto, tres hijos en el suelo, madre e hijo en cama. Hombre llega a cocina y habla con la hija, ella lo rechaza y amenaza con ceniza.",Hombre/Mujer,Proimágenes,Image;StillImage,image/jpeg,es,"Un hombre se acerca a una mujer con intenciones de mantener un romance con ella. La conquista suele ser propiciada por el hombre, a su vez, estos tienen modos de conquista como la poesía, decir palabras lindas, presumir de sus logros o su dinero. La mujer receptora de estas acciones acepta o rechaza a su candidato. Esta decisión suele ser tomada por las mujeres, por lo que es común que varios hombres se acerquen a la misma mujer.",Samuel Velasquez,1924,nerviosismo,nervios,cercanos,00:12:01,00:14:50
